Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,area_comfort
140000.0,2.0,2258.0,7,9,1969,62.0,47.0,9.0,Омеляновича-Павленка,6.0
105000.0,4.0,847.0,25,26,2018,124.0,71.0,16.0,Ованеса Туманяна,37.0
175000.0,3.0,1786.0,25,26,2010,98.0,37.0,14.0,Ованеса Туманяна,47.0
30970.0,1.0,1106.0,12,13,2013,28.0,13.0,5.0,Петропавлівська,10.0
82000.0,2.0,1281.0,18,26,2009,64.0,37.0,14.0,Дніпровська,13.0
168535.7,3.0,1872.6,4,9,1966,90.0,45.0,10.0,Саксаганського,35.0
4500000.0,4.0,14610.0,18,21,2011,308.0,37.0,14.0,Івана Мазепи,257.0
135000.0,2.0,2077.0,16,23,2012,65.0,25.0,18.0,Дніпровська,22.0
120000.0,1.0,2500.0,8,25,2012,48.0,18.0,16.0,Ділова,14.0
57500.0,3.0,625.0,9,9,1970,92.0,37.0,14.0,Новодарницька,41.0
98000.0,2.0,1633.0,21,34,2014,60.0,41.0,27.0,Ревуцького,18.0
170000.0,3.0,1735.0,16,22,2018,98.0,48.0,35.0,Липківського,15.0
320000.0,5.0,1963.0,23,25,2017,163.0,100.0,14.0,Бендукідзе,49.0
65000.0,1.0,2600.0,1,3,2009,25.0,20.0,3.0,Введенська,2.0
125000.0,2.0,2778.0,6,9,1965,45.0,37.0,14.0,Виноградний,18.0
48000.0,1.0,849.0,22,25,2009,69.0,40.0,10.0,Кайсарова,19.0
70000.0,1.0,1273.0,26,27,2004,55.0,22.0,12.0,Ахматової,21.0
75000.0,3.0,1005.0,4,26,2009,69.0,37.0,14.0,Радченка,18.0
84000.0,2.0,1273.0,6,26,2009,66.0,37.0,18.0,Дніпровська,11.0
175000.0,1.0,1725.8,7,25,2012,69.0,37.0,14.0,Ділова,18.0
63000.0,3.0,900.0,7,10,1987,70.0,44.0,14.0,Бориспільська,12.0
390000.0,3.0,3000.0,11,28,2013,130.0,48.0,66.0,Болсуновська,16.0
335000.0,3.0,3160.0,24,28,2017,106.0,55.0,24.0,Українки,27.0
320000.0,3.0,3137.0,15,24,2016,102.0,70.0,20.0,Антонова,12.0
118000.0,2.0,1311.0,15,25,1959,90.0,41.0,13.0,Науки,36.0
159990.0,4.0,1437.0,6,10,2016,69.0,37.0,30.0,Метрологічна,2.0
85000.0,3.0,1417.0,2,5,1961,60.0,44.0,6.0,Дружби Народів,10.0
155022.2,1.0,2541.3,8,18,2009,61.0,37.0,14.0,Драгомирова,10.0
590000.0,3.0,5900.0,8,18,2009,100.0,37.0,14.0,Драгомирова,49.0
84000.0,2.0,1333.0,2,16,2016,63.0,32.0,15.0,Данченка,16.0
35000.0,2.0,778.0,1,2,2009,45.0,37.0,14.0,Кримська,18.0
63000.0,2.0,969.0,4,25,2009,65.0,31.0,13.0,Новопольова,21.0
40000.0,2.0,870.0,3,5,1963,46.0,30.0,8.0,Туполєва,8.0
42654.8,1.0,1375.9,8,18,2009,31.0,37.0,14.0,Дніпровська,18.0
60000.0,1.0,1463.0,2,26,2009,41.0,37.0,14.0,Дніпровська,18.0
130000.0,2.0,1625.0,6,25,2010,80.0,37.0,14.0,Перемоги,29.0
346500.0,2.0,4500.0,7,24,2019,77.0,38.0,20.0,Івана Федорова,19.0
46998.0,2.0,1000.0,5,5,1968,47.0,35.0,8.0,Братиславська,4.0
10092.1,1.0,672.8,8,18,2009,15.0,37.0,14.0,Червоноткацька,18.0
29256.6,1.0,978.5,1,5,2009,69.0,37.0,14.0,Червоноткацька,18.0
